X-Value,GroupVar,Target
1,Group A,0.130657658
2,Group A,0.001701063
3,Group A,0.014435636
4,Group B,0.747894147
5,Group A,0.001
6,Group B,0.900191138
7,Group B,0.001
8,Group B,0.541916859
9,Group A,0.37575897
10,Group A,0.492586169
11,Group B,0.651475598
12,Group B,0.293467623
13,Group B,0.466592262
14,Group A,0.217715276
15,Group B,0.28979246
16,Group A,1.080646759
17,Group B,1.260318586
18,Group A,1.173810895
19,Group A,1.722930309
20,Group A,2.404352688
21,Group A,1.253974386
22,Group B,0.467399476
23,Group A,2.249320236
24,Group A,1.517961387
25,Group A,1.655995692
26,Group A,2.641249161
27,Group B,2.115278408
28,Group B,1.776973665
29,Group A,2.607862156
30,Group B,2.577613142
31,Group A,2.779536239
32,Group B,3.098429077
33,Group A,2.848941369
34,Group B,3.484113876
35,Group B,3.178347323
36,Group A,3.580011108
37,Group A,4.086801517
38,Group A,3.878848352
39,Group A,3.619675341
40,Group B,4.476842834
41,Group A,4.51732117
42,Group B,4.41115908
43,Group B,4.370917948
44,Group A,4.050339117
45,Group A,5.155464346
46,Group A,4.283925666
47,Group A,5.784683698
48,Group B,5.562308644
49,Group A,4.781150024
50,Group A,4.48678955
51,Group B,4.743796914
52,Group A,5.324444929
53,Group A,5.167669318
54,Group A,5.210275968
55,Group A,4.999303839
56,Group B,5.541716088
57,Group B,5.258965403
58,Group A,4.902727531
59,Group B,5.629983714
60,Group A,6.361137649
61,Group A,5.693679999
62,Group B,6.363250761
63,Group B,5.326473702
64,Group A,6.182043153
65,Group A,6.542231483
66,Group B,6.504135608
67,Group A,6.475788448
68,Group A,6.170382538
69,Group A,6.132095906
70,Group A,6.109557226
71,Group B,6.743613114
72,Group A,6.272748898
73,Group A,6.561465434
74,Group A,6.737550694
75,Group A,7.845007926
76,Group B,6.653242062
77,Group B,7.151742402
78,Group A,7.126585271
79,Group B,6.658987024
80,Group B,7.155357193
81,Group B,7.963198065
82,Group B,7.515431125
83,Group A,7.357926079
84,Group B,7.172594196
85,Group B,6.402682302
86,Group B,8.039395365
87,Group A,6.786811755
88,Group A,7.929520807
89,Group B,8.555549769
90,Group A,6.919562853
91,Group B,8.031997817
92,Group B,7.588711544
93,Group A,6.971574346
94,Group B,7.037302729
95,Group B,7.030034516
96,Group A,7.600712666
97,Group A,7.169869541
98,Group B,8.278525472
99,Group A,9.017699377
100,Group A,7.356484762
